Faculty,Abbreviation,Students faculty
Faculty of Theology and Religious Studies,FTRW,912
Faculty of Canon Law,BFKR,121
Institute of Philosophy,HIW,1786
Faculty of Law and Criminology,FRC,6696
Faculty of Economics and Business,FEB,10453
Faculty of Social Sciences,FSW,4541
Faculty of Arts,LETT,5194
Faculty of Psychology and Educational Sciences,PPW,4762
Faculty of Science,FWET,5249
Faculty of Engineering Science,FirW,6519
Faculty of Bioscience Engineering,FBIW,3175
Faculty of Engineering Technology,FIIW,6056
Faculty of Architecture,FA,2603
Faculty of Medicine,GEN,11167
Faculty of Pharmaceutical Sciences,FFW,1204
Faculty of Movement and Rehabilitation Sciences,FaBeR,3268
